2025-03-12 - 2025-03-18
"Easter Bubbles, , $1 ea member price"
"Always Discreet, , $16.99 member price"
"Cards or gift wrap†, SAVE $3 when you buy any 2, "
"Gas Rewards, , "
"Stock up, , "
"Pantene Shampoo or Conditioner, Earn 4X POINTS, $6.99 member price"
"Olay Ultra Body Wash, EARN 4x POINTS, $8.99 member price"
"Head & Shoulders Shampoo, EARN 4x POINTS, $7.99 member price"
"Nature's Truth or Signature Care® Vitamins, BUY 1 GET 1 FREE When you Buy 2 Member Price, "
"Old Spice Body Wash, EARN 4X POINTS, $9.99 member price"
"Secret or Old Spice Whole Body Deodorant, EARN 4X POINTS, $12.99 ea member price"
"Dove Dry Spray Deodorant, Earn 4X POINTS, $9.99 member price"
"Kind Bar, , 10 for $10 member price"
"Old Spice Deodorant, Earn 4X Points, $6.99 member price"
"Gillette Disposables, EARN 4x POINTS, $12.99 member price"
"Dial Liquid Hand Soap, EARN 4x POINTS, 2 for $6 member price"
"RXBAR, EARN 4x POINTS, $1.99 ea member price when you buy 2"
"Ivory Bar Soap, EARN 4X POINTS, $9.99 member price"
"Garnier Fructis Hair Care, EARN 4X POINTS, $6.99 member price"
"Garnier Nutrisse Hair Color, EARN 4X POINTS, $10.99 member price"
"L'Oréal Paris Root Cover Up, EARN 4x POINTS, $10.99 member price"
"L'Oréal Paris Preference Hair Color, EARN 4X POINTS, $12.99 member price"
"Dial Body Wash, Earn 4X POINTS, $3.99 ea"
"Muscle Milk Genuine Shakes, EARN 4x POINTS, $8.99 member price"
"Advil Pain Relief, , $14.99 member price"
"Sensodyne Toothpaste, , $7.99 member price"
"Excedrin Pain Relief, , $15.99 member price"
"Boost High Protein Shakes, , $10.99 member price"
"Softsoap Hand Soap, , 2 for $4 member price"
"Band-Aid, EARN 4x POINTS, $5.99 member price"
"Scope Mouthwash, , $7.49 member price"
"Clif Builder Protein Bars, Earn 4X POINTS, $10.99 member price"
"Pledge Furniture Polish, , $6.99 member price"
"Windex or Scrubbing Bubbles, Earn 4x POINTS, $4.99 member price"
"Pine-Sol Multipurpose Cleaner, , $5.49 member price"
"Gatorade Protein Bars, Earn 4X POINTS, $11.99 member price"
"Cloralen Bathroom or Multipurpose Cleaner, BUY 1 GET 1 FREE Member Price When you buy 2, "
"Air Wick Plug-In Refills or Essential Mist Starter Kit, , $9.99 ea"
"Febreze Air Care, , $3.49 ea"
"Premier Protein Powder, EARN 4X POINTS, $25.99 member price"
"Pharmacy, , "
"Pharmacy, , "
"Freshpass, , "
